Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Name,Number,Player Id,Position,Weight (lbs),Years Played
26,"Moncks Corner , SC",7/17/1990,South Carolina,Active,Cincinnati Bengals,4th season,76,Aynor HS,SC,"Johnson, T.J.",60,t.j.johnson/2540251,OG,300,
27,"Biloxi , MS",9/23/1989,Alabama,Active,New York Giants,3rd season,74,D'lberville HS,MS,"Norwood, Kevin",,kevinnorwood/2543689,WR,210,
22,"Livingston , NJ",2/18/1995,LSU,Active,Minnesota Vikings,Rookie,77,Immaculata HS,"Somerville,","Bower, Tashawn",,tashawnbower/2558915,DE,250,
27,"Mobile , AL",8/18/1989,Alabama-Birmingham,Active,Cleveland Browns,5th season,78,Lillie B. Williamson HS,"Mobile, AL","McCants, Matt",,mattmccants/2532905,T,310,
20,"Midway , GA",11/17/1996,Ohio State,Active,Miami Dolphins,Rookie,74,Liberty County HS,"Hinesville, GA","McMillan, Raekwon",,raekwonmcmillan/2558070,LB,243,
25,"Scottsdale , AZ",7/22/1991,Michigan,Active,Tennessee Titans,4th season,79,Cactus Shadows HS,"Cave Creek, AZ","Lewan, Taylor",77,taylorlewan/2550132,T,309,
29,Kingston Jamaica,8/19/1987,Oregon,Active,New England Patriots,9th season,71,Rancho Cucamonga HS,CA,"Chung, Patrick",23,patrickchung/71251,SS,215,
23,"Powder Springs , GA",1/26/1994,Alabama,Active,Miami Dolphins,2nd season,73,Hillgrove HS,"Powder Springs, GA","Drake, Kenyan",32,kenyandrake/2555230,RB,216,
24,"Canton , OH",7/15/1992,Miami (Ohio),Active,Green Bay Packers,3rd season,71,Wilmington HS,OH,"Rollins, Quinten",24,quintenrollins/2552263,CB,195,
24,"Cincinnati , OH",7/19/1992,Western Kentucky,Active,Seattle Seahawks,2nd season,77,Warren Central HS,"Bowling Green, KY","Fant, George",74,georgefant/2556524,OT,296,
22,"Saint Charles , MO",12/27/1994,San Diego State,Active,New York Giants,Rookie,73,,,"Munson, Calvin",,calvinmunson/2559217,LB,245,
26,"Missoula , MT",4/3/1991,Montana,Active,Green Bay Packers,4th season,76,Big Sky HS,"Missoula, MT","Tripp, Jordan",58,jordantripp/2550147,OLB,244,
21,,11/22/1995,Georgia,Active,Atlanta Falcons,Rookie,72,,,"Davis, Reggie",,reggiedavis/2559324,WR,159,
23,,10/21/1993,Virginia,Active,Baltimore Ravens,Rookie,70,,,"Mizzell, Taquan",,taquanmizzell/2558975,RB,185,
23,"Ontario , CA",11/8/1993,Oklahoma State,Active,Oakland Raiders,1st season,77,Guyer HS,"Denton, TX","Bean, Jimmy",,jimmybean/2557731,DE,251,
25,"Alpine , TX",9/6/1991,Texas-El Paso,Active,Dallas Cowboys,1st season,74,,,"Showers, Jameill",7,jameillshowers/2553600,QB,230,
28,"Philadelphia , PA",7/22/1988,Connecticut,Active,Tampa Bay Buccaneers,6th season,69,Patuxent HS,"Lusby, MD","McClain, Robert",,robertmcclain/1037913,DB,195,
23,"Duncanville , TX",3/4/1994,Baylor,Active,Houston Texans,Rookie,77,Wylie HS,"Wylie, TX","Fuller, Kyle",,kylefuller/2558866,C,306,
22,"Brooklyn , NY",7/12/1994,Iowa,Active,Minnesota Vikings,Rookie,75,Montini Catholic HS,"Lombard, IL","Johnson, Jaleel",,jaleeljohnson/2557845,DT,309,
23,"Nashville , TN",4/26/1994,Ohio State,Active,Los Angeles Chargers,2nd season,76,Olentangy HS,"Lewis Center, OH","Perry, Joshua",53,joshuaperry/2555326,ILB,253,
39,Walbrzych Poland,3/2/1978,Florida State,Active,Oakland Raiders,18th season,73,Seabreeze HS,"Daytona Beach, FL","Janikowski, Sebastian",11,sebastianjanikowski/2504257,K,265,
25,"Pittsburgh , PA",7/18/1991,Boston College,Active,Arizona Cardinals,2nd season,79,Brashear HS,"Pittsburgh, PA","Wetzel, John",73,johnwetzel/2539207,OT,328,
30,"New Milford , NJ",12/31/1986,Stanford,Unsigned free agent,San Francisco 49ers,8th season,77,Bergen Catholic HS,"Oradell, NJ","Dray, Jim",49,jimdray/497226,TE,255,
,,,South Dakota,Active,Indianapolis Colts,Rookie,74,Highlands Christian Academy HS,"Pompano Beach, FL","Graham, Tyson",,tysongraham/2559328,DB,210,
27,"Riverside , CA",3/5/1990,Brigham Young,Active,Kansas City Chiefs,4th season,74,Colton HS,CA,"Sorensen, Daniel",49,danielsorensen/2550257,DB,208,
26,"Nichols Hills , OK",9/26/1990,Oklahoma,Active,Cleveland Browns,4th season,76,Bishop McGuinness HS,"Oklahoma City, OK","Ikard, Gabe",60,gabeikard/2550487,C,304,
24,"Pensacola , FL",8/29/1992,Arizona State,Active,Green Bay Packers,3rd season,71,Pensacola HS,FL,"Randall, Damarious",23,damariousrandall/2552389,CB,196,
24,"Winnipeg , Manitoba",7/19/1992,Notre Dame,Active,Detroit Lions,2nd season,72,Gainesville HS,GA,"Jones, T.J.",,t.j.jones/2543836,WR,190,
25,"Fort Gordon , GA",9/8/1991,Georgia,Active,Jacksonville Jaguars,5th season,76,Northside HS,"Warner Robins, GA","Jones, Abry",95,abryjones/2539230,DT,318,
23,"Miami , FL",1/28/1994,Maryland,Active,Cleveland Browns,Rookie,71,,,"Hill, Alvin",,alvinhill/2559185,CB,190,
22,,7/31/1994,Arkansas State,Active,Oakland Raiders,Rookie,71,,,"Humes, Chris",,chrishumes/2559025,DB,207,
26,"Batavia , NY",2/12/1991,Cornell,Active,Cleveland Browns,5th season,76,Akron HS,NY,"Tretter, JC",,jctretter/2540292,C,307,
25,"Phoenix , AZ",4/21/1992,Nebraska,Active,Baltimore Ravens,2nd season,78,Mountain Pointe HS,"Phoenix, AZ","Lewis, Alex",72,alexlewis/2555353,OG,315,
35,"Albany , GA",3/14/1982,Georgia Tech,Unsigned free agent,Tampa Bay Buccaneers,14th season,74,Dougherty HS,"Albany, GA","Smith, Daryl",51,darylsmith/2506029,OLB,250,
27,"Vernon , TX",4/12/1990,Abilene Christian,Unsigned free agent,Jacksonville Jaguars,4th season,71,Sandalwood HS,"Jacksonville, FL","Richardson, Daryl",38,darylrichardson/2534789,RB,196,
26,"Virginia Beach , VA",8/29/1990,Delaware,Active,Denver Broncos,4th season,74,Quince Orchard HS,"Gaithersburg, MD","Kerr, Zach",,zachkerr/2550575,NT,334,
24,,5/3/1993,Pittsburg State,Active,Atlanta Falcons,Rookie,73,,,"Washington, Deron",,deronwashington/2559126,DB,211,
27,"Kearney , NE",5/16/1990,Notre Dame,Active,Atlanta Falcons,5th season,77,Elkhorn HS,NE,"Robinson, Trevor",60,trevorrobinson/2535842,G,300,
27,"Mobile , AL",7/12/1989,Florida State,Active,Oakland Raiders,7th season,74,B.C. Rain HS,"Mobile, AL","Hudson, Rodney",61,rodneyhudson/2495171,C,300,
25,,12/26/1991,Tennessee State,Active,Seattle Seahawks,1st season,77,LaVergne HS,TN,"Myers, Robert",,robertmyers/2552347,OG,335,
25,"Amarillo , TX",11/16/1991,Colorado State,Active,Baltimore Ravens,4th season,78,Bushland HS,TX,"Gillmore, Crockett",80,crockettgillmore/2543794,TE,260,
23,,1/29/1994,Valdosta State,Active,Buffalo Bills,1st season,70,,,"O'Neal, Cedric",,cedrico'neal/2556760,RB,215,
24,"Camden , NJ",1/27/1993,South Carolina,Active,Carolina Panthers,2nd season,69,Timber Creek HS,"Erial, NJ","Byrd, Damiere",18,damierebyrd/2553499,WR,180,
24,"Chandler , AZ",2/23/1993,Arizona State,Active,Cincinnati Bengals,2nd season,75,Hamilton HS,"Chandler, AZ","Westerman, Christian",63,christianwesterman/2555131,OG,300,
20,"Cedar Grove , NJ",7/10/1996,Miami (Fla.),Active,Cleveland Browns,Rookie,76,Cedar Grove HS,NJ,"Njoku, David",,davidnjoku/2557986,TE,245,
,,,Houston,Active,Miami Dolphins,Rookie,78,,,"Malveaux, Cameron",,cameronmalveaux/2559051,DE,251,
22,"Miami , FL",6/17/1994,Alabama,Active,Oakland Raiders,3rd season,73,Miami Northwestern HS,FL,"Cooper, Amari",89,amaricooper/2552487,WR,210,
22,"Pittsburg , CA",11/22/1994,Washington,Active,Indianapolis Colts,Rookie,75,Freedom HS,"Oakley, CA","Daniels, Darrell",,darrelldaniels/2558886,TE,247,
27,"Delray Beach , FL",6/8/1989,Kansas State,Active,Minnesota Vikings,6th season,76,Kings Acad. HS,"West Palm Beach, FL","Lamur, Emmanuel",,emmanuellamur/2536032,LB,245,
,,,New Haven,Active,Buffalo Bills,Rookie,77,,,"Voytek, Zach",,zachvoytek/2559294,OG,305,
27,"Meriden , CT",7/11/1989,Georgia,Active,Chicago Bears,5th season,75,Francis T. Maloney HS,"Meriden, CT","Jenkins, John",,johnjenkins/2539231,DT,359,
26,"Bartow , FL",9/21/1990,Florida Atlantic,Active,Tampa Bay Buccaneers,4th season,73,Lake Gibson HS,"Lakeland, FL","Glanton, Adarius",53,adariusglanton/2550565,OLB,230,
32,"Enid , OK",8/15/1984,Baker,Active,New York Jets,8th season,75,Ava HS,MO,"Purdum, Tanner",46,tannerpurdum/2507549,LS,270,
26,"Del City , OK",3/24/1991,Oklahoma,Active,Tennessee Titans,4th season,70,Lancaster HS,TX,"Hurst, Demontre",,demontrehurst/2541837,DB,191,
23,,3/22/1994,North Carolina-Charlotte,Active,Green Bay Packers,Rookie,71,,,"Phillips, Kalif",,kalifphillips/2559035,RB,185,
,,,Texas Southern,Active,Houston Texans,Rookie,70,,,"Carter, Cory",,corycarter/2558297,P,185,
26,"Harrisburg , PA",2/8/1991,Penn State,Active,Detroit Lions,5th season,73,Steelton-Highspire HS,"Steelton, PA","Hill, Jordan",,jordanhill/2539292,DT,290,
25,"Independence , MO",2/16/1992,Arizona,Active,Cincinnati Bengals,4th season,75,Millennium HS,"Goodyear, AZ","Flowers, Marquis",53,marquisflowers/2549896,OLB,245,
25,,3/10/1992,Houston,Active,Arizona Cardinals,Rookie,75,,,"Leone, Richie",,richieleone/2550218,P,214,
25,"Winnipeg , Manitoba",6/24/1991,Penn State,Active,Baltimore Ravens,4th season,75,Canisius HS,"Buffalo, NY","Urschel, John",64,johnurschel/2543845,OG,300,
30,"Amarillo , TX",2/16/1987,Missouri,Active,Washington Redskins,9th season,75,Palo Duro HS,"Amarillo, TX","Hood, Ziggy",90,ziggyhood/2507780,NT,305,
27,"Jersey City , NJ",4/2/1990,Temple,Active,Detroit Lions,6th season,74,West Side HS,"Newark, NJ","Whitehead, Tahir",59,tahirwhitehead/2532986,MLB,241,
22,"Marrero , LA",6/10/1994,Mississippi State,Active,Cincinnati Bengals,1st season,78,Archbishop Shaw HS,"New Orleans, LA","Brown, Ryan",76,ryanbrown/2556483,DE,267,
25,"New York , NY",5/28/1992,Syracuse,Active,New York Giants,4th season,75,Flushing HS,"Queens, KY","Bromley, Jay",96,jaybromley/2543860,DT,306,
24,Nairobi Kenya,9/23/1992,Boise State,Active,Seattle Seahawks,2nd season,76,Legacy HS,"Mansfield, TX","Odhiambo, Rees",70,reesodhiambo/2555142,OG,315,
22,"Sioux Falls , SD",2/23/1995,Nebraska,Active,Philadelphia Eagles,Rookie,74,Washington HS,"Sioux Falls, SD","Gerry, Nate",,nategerry/2558175,SAF,218,
22,"Dallas , TX",3/30/1995,East Carolina,Active,Buffalo Bills,Rookie,74,Stephen F. Austin HS,"Austin, TX","Jones, Zay",,zayjones/2557863,WR,202,
22,,6/13/1994,Wake Forest,Active,New York Giants,Rookie,76,,,"Banks, Josh",,joshbanks/2559136,DT,290,
23,"Claremont , CA",4/24/1994,Washington,Active,Detroit Lions,2nd season,73,Gahr HS,"Cerritos, CA","Washington, Dwayne",36,dwaynewashington/2556118,RB,223,
25,"Inglewood , CA",5/17/1992,Sacramento State,Active,Denver Broncos,4th season,73,Paraclete HS,"Lancaster, CA","Davis, Todd",51,todddavis/2550930,ILB,230,
22,,4/5/1995,Georgia,Active,Baltimore Ravens,Rookie,75,,,"Kublanow, Brandon",,brandonkublanow/2558962,C,291,
30,"Port Allen , LA",8/11/1986,Indiana,Unsigned free agent,Chicago Bears,10th season,71,Port Allen HS,LA,"Porter, Tracy",21,tracyporter/2507471,CB,200,
30,"Goldsboro , NC",11/24/1986,Miami (Fla.),Active,Seattle Seahawks,8th season,79,Charis Prep HS,"Goldsboro, NC","Graham, Jimmy",88,jimmygraham/497236,TE,265,
26,Liberia,8/5/1990,Marshall,Active,Arizona Cardinals,Rookie,73,,,"Bazzie, Alex",,alexbazzie/2558294,LB,229,
23,"Portsmouth , VA",2/25/1994,Globe Tech NY (J.C.),Active,Buffalo Bills,1st season,74,I.C. Norcom HS,"Portsmouth, VA","Powell, Joe",,joepowell/2557550,DB,205,
,,,Boise State,Active,Buffalo Bills,Rookie,73,Nevada Union HS,"Grass Valley, CA","Vallejo, Tanner",,tannervallejo/2558289,LB,228,
28,"Brooksville , FL",9/3/1988,Troy,Unsigned free agent,San Francisco 49ers,4th season,67,Central HS,"Brooksville, FL","Harris, DuJuan",,dujuanharris/2530690,RB,206,
35,"Oklahoma City , OK",10/21/1981,Oklahoma State,Unsigned free agent,Houston Texans,14th season,75,John Marshall HS,"Oklahoma City, OK","Smith, Antonio",94,antoniosmith/2505988,DE,290,
22,,4/14/1995,Idaho,Active,Jacksonville Jaguars,Rookie,73,,,"Lupeamanu, Tueni",,tuenilupeamanu/2559306,DT,252,
23,"Forest City , NC",12/5/1993,Clemson,Active,Houston Texans,Rookie,76,Chase HS,"Forest City, NC","Watkins, Carlos",,carloswatkins/2557877,DT,312,
23,"Kailua , HI",1/29/1994,UCLA,Active,Houston Texans,2nd season,72,Punahou HS,"Honolulu, HI","Fairbairn, Ka'imi",7,ka'imifairbairn/2556521,K,185,
29,"Fort Thomas , KY",6/10/1987,Ohio U.,Active,Pittsburgh Steelers,9th season,73,Highlands HS,"Fort Thomas, KY","Mitchell, Mike",23,mikemitchell/238227,FS,221,
22,,12/5/1994,Florida Atlantic,Active,New Orleans Saints,Rookie,76,,,"Hendrickson, Trey",,treyhendrickson/2557943,DE,270,
24,,4/10/1993,Washington,Active,Atlanta Falcons,1st season,70,,,"Hall, Marvin",,marvinhall/2557034,WR,190,
22,"Atlanta , GA",11/18/1994,Purdue,Active,Green Bay Packers,Rookie,74,Mays HS,"Atlanta, GA","Yancey, DeAngelo",,deangeloyancey/2558025,WR,205,
25,"Houston , TX",10/16/1991,Alabama,Active,New England Patriots,2nd season,72,North Shore HS,"Houston, TX","White, DeAndrew",,deandrewwhite/2552657,WR,192,
24,"Poughkeepsie , NY",8/28/1992,Boston College,Active,Los Angeles Chargers,3rd season,72,Parkland HS,"Allentown, PA","Williams, Andre",,andrewilliams/2543565,RB,220,
23,"Plainfield , NJ",1/24/1994,Rutgers,Active,Miami Dolphins,2nd season,72,Don Bosco Prep HS,"Ramsey, NJ","Carroo, Leonte",88,leontecarroo/2555215,WR,217,
31,"Cambridge , MA",9/27/1985,Louisville,Active,Houston Texans,10th season,79,Malden HS,MA,"Giacomini, Breno",,brenogiacomini/758,T,318,
25,"Chicago , IL",9/21/1991,Northern Illinois,Active,Los Angeles Chargers,1st season,72,Morgan Park HS,"Chicago, IL","Brown, Da'Ron",,da'ronbrown/2552479,WR,199,
22,"Alpharetta , GA",1/26/1995,Tennessee,Active,Pittsburgh Steelers,Rookie,75,Wesleyan HS,GA,"Dobbs, Joshua",,joshuadobbs/2558167,QB,216,
27,"Memphis , TN",7/23/1989,Mississippi State,Active,Seattle Seahawks,7th season,76,Olive Branch HS,MS,"Wright, K.J.",50,k.j.wright/2495252,OLB,246,
34,"Tustin , CA",1/12/1983,Oklahoma,Unsigned free agent,Atlanta Falcons,12th season,75,Tustin HS,CA,"Chester, Chris",65,chrischester/2495819,OG,303,
32,"Lexington , KY",3/15/1985,Kentucky,Unsigned free agent,Atlanta Falcons,10th season,75,Boyle Co HS,"Danville, KY","Tamme, Jacob",83,jacobtamme/324,TE,230,
28,"Minneapolis , MN",5/10/1989,South Dakota,Active,Chicago Bears,5th season,77,Rosemount HS,MN,"Compton, Tom",,tomcompton/2532816,T,308,
22,,9/2/1994,Temple,Active,Houston Texans,Rookie,70,,,"Williams, Avery",,averywilliams/2559282,LB,201,
26,,7/18/1990,West Alabama,Active,Miami Dolphins,Rookie,73,,,"Lacey, Deon",,deonlacey/2541848,LB,225,
32,"Miami , FL",1/1/1985,North Carolina State,Unsigned free agent,Philadelphia Eagles,12th season,71,Miami Killian HS,FL,"Tulloch, Stephen",50,stephentulloch/2506921,OLB,245,
23,"Los Angeles , CA",11/29/1993,USC,Active,Cleveland Browns,4th season,75,Crenshaw HS,"Los Angeles, CA","Martin, Marcus",,marcusmartin/2543670,C,321,
23,"Auburn , AL",4/4/1994,Alabama,Active,San Francisco 49ers,Rookie,73,Auburn HS,AL,"Foster, Reuben",,reubenfoster/2557837,LB,228,
24,"Miami , FL",7/22/1992,Florida,Active,Washington Redskins,3rd season,74,Booker T. Washington HS,"Miami, FL","Dunbar, Quinton",47,quintondunbar/2553796,CB,203,
31,"Bradenton , FL",4/7/1986,Tennessee State,Active,New York Giants,10th season,74,Lakewood Ranch HS,"Bradenton, FL","Rodgers-Cromartie, Dominique",41,dominiquerodgers-cromartie/306,CB,193,
22,"St. Petersburg , FL",8/3/1994,Florida,Active,Jacksonville Jaguars,3rd season,74,Lakewood HS,"St. Petersburg, FL","Fowler, Dante",56,dantefowler/2553431,DE,250,
29,"Colorado Springs , CO",1/1/1988,Colorado,Unsigned free agent,New Orleans Saints,8th season,73,Carroll HS,"Southlake, TX","Drescher, Justin",47,justindrescher/2513195,LS,235,
26,"Clinton , MD",6/23/1990,Virginia,Active,Philadelphia Eagles,6th season,70,DeMatha HS,"Hyattsville, MD","McLeod, Rodney",23,rodneymcleod/2534832,FS,195,
28,"Gulfport , MS",8/20/1988,Belhaven College,Unsigned free agent,San Francisco 49ers,8th season,70,Long Beach HS,MS,"Brock, Tramaine",26,tramainebrock/2507917,CB,197,
29,"Royal Oak , MI",9/20/1987,Eastern Michigan,Active,Detroit Lions,9th season,76,Brother Rice HS,"Bloomfield Hills, MI","Lang, T.J.",,t.j.lang/89746,OG,318,
26,"Yazoo City , MS",12/13/1990,Mississippi State,Active,Philadelphia Eagles,6th season,76,Yazoo City HS,MS,"Cox, Fletcher",91,fletchercox/2533051,DT,310,
21,"Sarasota , FL",3/7/1996,South Florida,Active,Indianapolis Colts,Rookie,72,Booker HS,"Sarasota, FL","Mack, Marlon",,marlonmack/2558123,RB,210,
24,"Gastonia , NC",11/6/1992,East Carolina,Active,Carolina Panthers,Rookie,74,,,"Bigger, Zeek",,zeekbigger/2559377,LB,216,
31,"Redwood City , CA",5/22/1986,Kent State,Active,New England Patriots,9th season,70,Woodside HS,CA,"Edelman, Julian",11,julianedelman/238498,WR,200,
26,"Rock Hill , SC",9/19/1990,South Carolina,Active,New England Patriots,6th season,73,South Pointe HS,"Rock Hill, SC","Gilmore, Stephon",24,stephongilmore/2533062,CB,190,
22,,9/26/1994,California,Active,Tennessee Titans,Rookie,69,Notre Dame HS,"Los Angeles, CA","Muhammad, Khalfani",,khalfanimuhammad/2558861,RB,175,
24,Germany,11/18/1992,Vanderbilt,Active,Indianapolis Colts,2nd season,73,,,"Williamson, Andrew",36,andrewwilliamson/2556402,DB,212,
22,,8/19/1994,Eastern Michigan,Active,Indianapolis Colts,Rookie,78,,,"Wylie, Andrew",,andrewwylie/2559354,OT,311,
25,"Spokane , WA",9/10/1991,Eastern Washington,Active,Pittsburgh Steelers,1st season,78,,,"Rodgers, Jake",,jakerodgers/2553236,OT,320,
25,"Norwalk , CT",10/7/1991,Boston College,Active,Seattle Seahawks,4th season,72,King Low-Heywood Thomas School HS,"Stamford, CT","Pierre-Louis, Kevin",58,kevinpierre-louis/2543563,OLB,230,
,,,St. Francis (PA),Active,San Francisco 49ers,Rookie,71,J.P. Taravella HS,"Coral Springs, FL","Jerome, Lorenzo",,lorenzojerome/2558957,DB,202,
28,"Seaside , CA",3/1/1989,Washington,Active,Washington Redskins,7th season,73,Seaside HS,CA,"Foster, Mason",54,masonfoster/2495281,ILB,250,
24,"Oakland , CA",8/30/1992,Washington State,Active,Arizona Cardinals,4th season,73,Vanden HS,"Fairfield, CA","Bucannon, Deone",20,deonebucannon/2543769,OLB,211,
24,"Cleveland , OH",10/3/1992,Utah,Active,New England Patriots,3rd season,73,Klein HS,TX,"Rowe, Eric",25,ericrowe/2552255,CB,205,
31,"New Orleans , LA",10/1/1985,Southern Mississippi,Active,Houston Texans,9th season,77,McDonough 35 HS,"New Orleans, LA","Clark, Chris",,chrisclark/2507358,T,305,
27,"Long Beach , CA",5/8/1990,Utah State,Active,San Francisco 49ers,5th season,71,Central Valley HS,"Veradale, WA","Davis, Will",,willdavis/2540217,DB,180,
26,"Lake Worth , FL",2/22/1991,Miami (Fla.),Active,Chicago Bears,4th season,76,Palm Beach Central HS,"Wellington, FL","O'Donnell, Pat",16,pato'donnell/2543611,P,217,
27,"Canonsburg , PA",9/9/1989,California (PA),Active,Chicago Bears,4th season,76,Chartiers Valley HS,"Bridgeville, PA","Kush, Eric",64,erickush/2541312,OG,313,
28,"Kirkwood , MO",2/21/1989,Missouri Southern State,Active,Baltimore Ravens,5th season,73,Rockwood Summit HS,"Fenton, MO","Williams, Brandon",98,brandonwilliams/2541302,NT,340,
23,"Los Angeles , CA",8/17/1993,Idaho,Active,Arizona Cardinals,1st season,74,,,"Penny, Elijhaa",35,elijhaapenny/2556762,RB,234,
21,"Mount Pleasant , TX",11/5/1995,Baylor,Active,New York Jets,Rookie,72,Mount Pleasant HS,TX,"Cannon, KD",,kdcannon/2558927,WR,180,
23,"Augusta , ME",5/9/1994,Youngstown State,Active,New England Patriots,Rookie,76,Kinston HS,"Kinston, NC","Rivers, Derek",95,derekrivers/2558040,OLB,250,
22,,6/22/1994,USC,Active,Oakland Raiders,Rookie,75,,,"Whitney, Isaac",,isaacwhitney/2559008,WR,220,
22,"Hammond , LA",6/20/1994,Southeastern Louisiana,Active,Arizona Cardinals,1st season,72,Kentwood HS,LA,"Miller, Harlan",34,harlanmiller/2555174,FS,182,
24,,7/11/1992,Akron,Active,Arizona Cardinals,1st season,75,Ocoee HS,FL,"Capi, Cap",,capcapi/2553870,DE,249,
26,"St. Louis , MO",9/11/1990,Missouri Western State,Active,Seattle Seahawks,5th season,76,Univeristy City HS,MO,"Bass, David",,davidbass/2540277,LB,256,
24,"Cleveland , OH",1/29/1993,Michigan State,Active,Oakland Raiders,2nd season,76,Walsh Jesuit HS,"Stow, OH","Cook, Connor",8,connorcook/2555332,QB,217,
23,,7/24/1993,Pennsylvania,Active,Oakland Raiders,2nd season,78,Summit HS,NJ,"O'Malley, Ryan",,ryano'malley/2556818,TE,258,
23,,5/17/1994,West Georgia,Active,Carolina Panthers,Rookie,74,Dacula HS,GA,"Armah, Alex",,alexarmah/2558833,FB,253,
23,"Farmington Hills , MI",5/21/1994,Michigan,Active,Carolina Panthers,3rd season,76,Harrison HS,"Farmington Hills, MI","Funchess, Devin",17,devinfunchess/2552458,WR,225,
25,,5/4/1992,Auburn,Active,Houston Texans,2nd season,77,,,"Slade, Chad",62,chadslade/2553601,OG,315,
