name,age,birth_place,birthday,weight_lbs,height_in,college,player_id,number,position,current_stat,current_team,experience,high_school,high_school_loc,yrs_played
Gus Otto,73.0,"St. Louis , MO",12/8/1943,220.0,73.0,Missouri,gusotto/2522592,,,Retired,,8 Seasons,,,1965 - 1972
Gene Thomas,74.0,"Barberton , OH",9/1/1942,210.0,73.0,Florida A&M,genethomas/2527241,,,Retired,,3 Seasons,,,1966 - 1968
Bill Demory,66.0,"Indianola , IA",12/1/1950,195.0,74.0,Arizona,billdemory/2512778,,,Retired,,2 Seasons,,,1973 - 1974
Manasseh Garner,25.0,,3/11/1992,220.0,74.0,Pittsburgh,manassehgarner/2553801,,TE,Active,Washington Redskins,1st season,,,
Clarence Verdin,53.0,"New Orleans , LA",6/14/1963,160.0,68.0,Louisiana-Lafayette,clarenceverdin/2503464,,,Retired,,9 Seasons,,,1986 - 1994
Fred DeRiggi,50.0,"Scranton , PA",1/15/1967,268.0,74.0,Syracuse,fredderiggi/2512828,,,Retired,,1 Season,,,1990 - 1990
Bill Schuler,,"Birmingham , AL",10/18/1922,215.0,72.0,Yale,billschuler/2525128,,,Retired,,2 Seasons,,,1947 - 1948
Jeff Nady,27.0,"Reno , NV",2/15/1990,305.0,79.0,Nevada,jeffnady/2541732,,,Retired,,1 Season,,,2013 - 2013
Ron Rivera,55.0,"Fort Ord , CA",1/7/1962,235.0,75.0,California,ronrivera/2502679,,,Retired,,9 Seasons,,,1984 - 1992
Montae Reagor,39.0,"Waxahachie , TX",6/29/1977,285.0,75.0,Texas Tech,montaereagor/2502600,,,Retired,,10 Seasons,,,1999 - 2008
Randy Sealby,57.0,"Ann Arbor , MI",5/16/1960,230.0,74.0,Missouri,randysealby/2525255,,,Retired,,1 Season,,,1987 - 1987
George Sergienko,,"Chicopee Falls , MA",5/22/1918,248.0,73.0,American International,georgesergienko/2525335,,,Retired,,4 Seasons,,,1943 - 1946
Norm Beckwith,,"Cleveland , OH",2/9/1896,150.0,,No College,normbeckwith/2509286,,,Retired,,1 Season,,,1920 - 1920
Joe Tafoya,38.0,"San Luis Obispo Co. , CA",9/6/1978,258.0,76.0,Arizona,joetafoya/2504656,,,Retired,,7 Seasons,,,2001 - 2008
Bryan Hall,28.0,"Carbondale , IL",9/12/1988,280.0,72.0,Arkansas State,bryanhall/2530581,,,Retired,,3 Seasons,,,2011 - 2013
Kyle Wallace,34.0,,3/3/1983,295.0,78.0,Georgia Tech,kylewallace/2506142,,,Retired,,1 Season,,,2005 - 2005
Al Darby,62.0,"Miami , FL",9/14/1954,221.0,77.0,Florida,aldarby/2512457,,,Retired,,2 Seasons,,,1976 - 1978
Mark Dell,28.0,,5/28/1989,195.0,74.0,Michigan State,markdell/2495275,,,Retired,,2 Seasons,,,2011 - 2012
Mike D'Amato,74.0,"Brooklyn , NY",3/3/1943,205.0,74.0,Hofstra,miked'amato/2512416,,,Retired,,1 Season,,,1968 - 1968
Howard Sampson,60.0,"Baytown , TX",7/7/1956,185.0,70.0,Arkansas,howardsampson/2524829,,,Retired,,2 Seasons,,,1978 - 1979
Norm Bass,78.0,"Laurel , MS",1/21/1939,210.0,75.0,U. of Pacific,normbass/2509130,,,Retired,,1 Season,,,1964 - 1964
Kurt Coleman,29.0,"Dayton , OH",4/1/1988,200.0,71.0,Ohio State,kurtcoleman/494261,20.0,SS,Active,Carolina Panthers,8th season,Northmont HS,"Clayton, OH",
Bill Larson,63.0,"Greenfield , IA",10/7/1953,225.0,76.0,Colorado State,billlarson/2519112,,,Retired,,4 Seasons,,,1975 - 1980
T.J. Carrie,26.0,"Rodeo , CA",7/28/1990,205.0,72.0,Ohio U.,t.j.carrie/2550164,38.0,SS,Active,Oakland Raiders,4th season,De La Salle HS,"Concord, CA",
Fred Weary,43.0,"Jacksonville , FL",4/12/1974,181.0,70.0,Florida,fredweary/2503572,,,Retired,,6 Seasons,,,1998 - 2003
Nate Allen,29.0,"Fort Myers , FL",11/30/1987,210.0,72.0,South Florida,nateallen/2508043,,DB,Active,Miami Dolphins,8th season,Cape Coral HS,FL,
Chris Riley,29.0,"Evanston , IL",10/25/1987,305.0,77.0,Illinois State,chrisriley/2530729,,,Retired,,1 Season,,,2011 - 2012
Breezy Reid,,"Bridgeton , NJ",9/14/1927,187.0,70.0,Georgia,breezyreid/2523928,,,Retired,,7 Seasons,,,1950 - 1956
Bruce Gehrke,,"Long Island , NY",9/12/1924,190.0,74.0,Columbia,brucegehrke/2514740,,,Retired,,1 Season,,,1948 - 1948
Dave Baker,,"Coffeyville , KS",7/30/1937,192.0,72.0,Oklahoma,davebaker/2508869,,,Retired,,3 Seasons,,,1959 - 1961
Ed Ellis,41.0,"Hamden , CT",10/13/1975,325.0,77.0,Buffalo,edellis/2500536,,,Retired,,8 Seasons,,,1997 - 2004
Isaiah Williams,24.0,,5/5/1993,295.0,75.0,Akron,isaiahwilliams/2557450,63.0,OT,Active,Washington Redskins,1st season,,,
Jason Baker,39.0,"Fort Wayne , IN",5/17/1978,205.0,74.0,Iowa,jasonbaker/2504395,,,Retired,,11 Seasons,,,2001 - 2011
Fabian Washington,33.0,"Bradenton , FL",6/9/1983,175.0,71.0,Nebraska,fabianwashington/2506362,,,Retired,,7 Seasons,,,2005 - 2011
Tommy Pharr,69.0,"Canton , GA",7/31/1947,187.0,70.0,Mississippi State,tommypharr/2523147,,,Retired,,1 Season,,,1970 - 1970
Winston Alderson,43.0,"El Dorado , AR",12/27/1973,344.0,76.0,Arkansas,winstonalderson/2499376,,,Retired,,1 Season,,,1997 - 1997
Mark Bell,59.0,"Jamestown , OH",6/14/1957,175.0,69.0,Colorado State,markbell/2509361,,,Retired,,2 Seasons,,,1980 - 1981
Dane Randolph,30.0,"Pensacola , FL",9/4/1986,310.0,77.0,Maryland,danerandolph/2507719,,,Retired,,0 Season,,,2009 - 2009
DeVante Bausby,24.0,"Kansas City , MO",1/15/1993,190.0,74.0,Pittsburg State,devantebausby/2553790,,CB,Active,Kansas City Chiefs,2nd season,Hogan Preparatory Academy HS,"Kansas City, MO",
Johnny Knolla,,"Chicago , IL",3/19/1919,180.0,70.0,Creighton,johnnyknolla/2518652,,,Retired,,2 Seasons,,,1942 - 1945
Elijah Wilkinson,,,,331.0,76.0,Massachusetts,elijahwilkinson/2559295,,OT,Active,Denver Broncos,Rookie,,,
Joe Lewis,81.0,"Los Angeles , CA",1/23/1936,256.0,74.0,Compton CC CA,joelewis/2519453,,,Retired,,5 Seasons,,,1958 - 1962
Waymon James,26.0,,1/24/1991,203.0,68.0,Texas Christian,waymonjames/2550652,,,Retired,,1 Season,,,2014 - 2014
Al Nichelini,,"St. Helena , CA",11/23/1909,207.0,74.0,St. Mary's (CA),alnichelini/2522114,,,Retired,,2 Seasons,,,1935 - 1936
Greg Castillo,27.0,,5/3/1990,187.0,71.0,Iowa,gregcastillo/2541971,,,Retired,,1 Season,,,2013 - 2013
Lance Harkey,51.0,"Selma , AL",10/30/1965,180.0,70.0,Illinois,lanceharkey/2515842,,,Retired,,1 Season,,,1987 - 1987
Tim Foley,59.0,"Cincinnati , OH",5/30/1958,275.0,78.0,Notre Dame,timfoley/2514196,,,Retired,,1 Season,,,1981 - 1981
Jason Webster,39.0,"Houston , TX",9/8/1977,187.0,69.0,Texas A&M,jasonwebster/2504264,,,Retired,,9 Seasons,,,2000 - 2008
Bill Mathis,78.0,"Rocky Mount , NC",12/10/1938,220.0,73.0,Clemson,billmathis/2520333,,,Retired,,10 Seasons,,,1960 - 1969
Trumaine Johnson,27.0,"Stockton , CA",1/1/1990,208.0,74.0,Montana,trumainejohnson/2532877,22.0,CB,Active,Los Angeles Rams,6th season,Edison HS,"Stockton, CA",
Zane Beadles,30.0,"Casper , WY",11/19/1986,305.0,76.0,Utah,zanebeadles/496980,68.0,G,Active,San Francisco 49ers,8th season,Hillcrest HS,"Midvale, UT",
Dan Feeney,23.0,"Orland Park , IL",5/29/1994,304.0,76.0,Indiana,danfeeney/2557873,,OG,Active,Los Angeles Chargers,Rookie,Carl Sandburg HS,"Orland Park, IL",
Tony Elliott,,"New York , NY",4/23/1959,282.0,74.0,North Texas,tonyelliott/2513563,,,Retired,,7 Seasons,,,1982 - 1988
Tom Kaleita,34.0,,5/29/1983,318.0,78.0,Eastern Michigan,tomkaleita/2518101,,,Retired,,0 Season,,,2006 - 2006
Andrew Lewis,30.0,Frankfurt Germany,2/18/1987,303.0,74.0,Syracuse,andrewlewis/2530849,,,Retired,,1 Season,,,2011 - 2011
Jim Thaxton,68.0,"Brownsville , TN",1/11/1949,240.0,74.0,Tennessee State,jimthaxton/2527193,,,Retired,,5 Seasons,,,1973 - 1978
Khaled Holmes,27.0,"San Diego , CA",1/19/1990,309.0,75.0,USC,khaledholmes/2539307,,C,Active,New York Giants,3rd season,Mater Dei HS,"Santa, Ana, CA",
Cameron Goldberg,31.0,,11/17/1985,265.0,78.0,Duke,camerongoldberg/2507748,,,Retired,,1 Season,,,2009 - 2009
Tom Savage,27.0,"Clifton Heights , PA",4/26/1990,230.0,76.0,Pittsburgh,tomsavage/2543640,3.0,QB,Active,Houston Texans,4th season,Cardinal O'Hara HS,"Springfield, PA",
Jack Scarbath,86.0,"Baltimore , MD",8/12/1930,206.0,74.0,Maryland,jackscarbath/2524989,,,Retired,,3 Seasons,,,1953 - 1956
Greg Kindle,66.0,"Houston , TX",9/16/1950,265.0,76.0,Tennessee State,gregkindle/2518471,,,Retired,,4 Seasons,,,1974 - 1977
Laremy Tunsil,22.0,"Harvey , LA",8/2/1994,316.0,77.0,Mississippi,laremytunsil/2555201,67.0,OG,Active,Miami Dolphins,2nd season,Columbia HS,"Lake City, FL",
Greg Taylor,58.0,"Richmond , VA",10/23/1958,175.0,68.0,Virginia,gregtaylor/2527085,,,Retired,,1 Season,,,1982 - 1982
Eric Frampton,33.0,"San Jose , CA",2/6/1984,202.0,71.0,Washington State,ericframpton/2495605,,,Retired,,7 Seasons,,,2007 - 2013
Chuck Malone,,"Hillsboro , TX",6/18/1910,206.0,76.0,Texas A&M,chuckmalone/2520035,,,Retired,,8 Seasons,,,1934 - 1942
Marquez Williams,,,,259.0,70.0,Miami (Fla.),marquezwilliams/2558860,,FB,Active,Jacksonville Jaguars,Rookie,Clarke Central HS,"Athens, GA",
Bob Gain,,"Akron , OH",6/21/1929,256.0,75.0,Kentucky,bobgain/2514537,,,Retired,,12 Seasons,,,1952 - 1964
Tony Davis,64.0,"Tecumseh , NE",1/21/1953,212.0,71.0,Nebraska,tonydavis/2512597,,,Retired,,6 Seasons,,,1976 - 1981
Perry Riley,29.0,"Atlanta , GA",5/3/1988,240.0,72.0,LSU,perryriley/496949,54.0,MLB,Unsigned free agent,Oakland Raiders,8th season,Stephenson HS,"Stone Mountain, GA",
Will Blackmon,32.0,"Providence , RI",10/27/1984,212.0,72.0,Boston College,willblackmon/2495809,41.0,FS,Active,Washington Redskins,11th season,Bishop Hendricken HS,"Warwick, RI",
Ian Seau,24.0,,12/4/1992,256.0,74.0,Nevada,ianseau/2556677,,DE,Active,Buffalo Bills,Rookie,,,
Paul Carrington,34.0,"Savannah , GA",11/11/1982,270.0,79.0,Central Florida,paulcarrington/2506618,,,Retired,,3 Seasons,,,2006 - 2008
Tommy Maddox,45.0,"Shreveport , LA",9/2/1971,219.0,76.0,UCLA,tommymaddox/2501842,,,Retired,,9 Seasons,,,1992 - 2005
Darius Eubanks,25.0,"Fort Knox , KY",7/12/1991,222.0,74.0,Georgia Southern,dariuseubanks/2541703,,,Retired,,3 Seasons,,,2013 - 2015
Kevin Lewis,37.0,,4/26/1980,285.0,73.0,Virginia Tech,kevinlewis/2519456,,,Retired,,0 Season,,,2006 - 2006
Derrick Johnson,35.0,"Long Beach , CA",2/9/1982,186.0,70.0,Washington,derrickjohnson/2506538,,,Retired,,3 Seasons,,,2005 - 2008
Wayne Fontes,78.0,"New Bedford , MA",2/17/1939,190.0,72.0,Michigan State,waynefontes/2514211,,,Retired,,1 Season,,,1962 - 1962
Jerry Ball,52.0,"Beaumont , TX",12/15/1964,330.0,73.0,Southern Methodist,jerryball/2499510,,,Retired,,13 Seasons,,,1987 - 1999
Andre Dees,47.0,,12/1/1969,266.0,78.0,Syracuse,andredees/2500357,,,Retired,,1 Season,,,1992 - 1992
Patrick Ghee,33.0,,5/5/1984,211.0,73.0,Wake Forest,patrickghee/2507062,,,Retired,,1 Season,,,2007 - 2008
Lorne Johnson,,"Orlando , FL",4/19/1909,195.0,74.0,Temple,lornejohnson/2517709,,,Retired,,1 Season,,,1934 - 1934
Fabrizio Scaccia,32.0,,8/21/1984,210.0,73.0,No College,fabrizioscaccia/2508100,,,Retired,,1 Season,,,2010 - 2011
Cal Dixon,47.0,"Fort Lauderdale , FL",10/11/1969,302.0,76.0,Florida,caldixon/2500408,,,Retired,,5 Seasons,,,1992 - 1996
Jason Davis,36.0,,9/12/1980,320.0,75.0,West Virginia,jasondavis/2505404,,,Retired,,3 Seasons,,,2003 - 2006
Len Calligaro,,"Hurley , WI",6/4/1921,190.0,71.0,Wisconsin,lencalligaro/2510942,,,Retired,,1 Season,,,1944 - 1944
Marcus Maxey,34.0,"Navasota , TX",2/2/1983,200.0,74.0,Miami (Fla.),marcusmaxey/2495899,,,Retired,,1 Season,,,2006 - 2007
George Zorich,,"Wakefield , MI",11/24/1915,213.0,74.0,Northwestern,georgezorich/2529686,,,Retired,,4 Seasons,,,1944 - 1947
Charlie Lanham,,", KY",12/10/1898,170.0,,No College,charlielanham/2519066,,,Retired,,2 Seasons,,,1922 - 1923
Brad Ekwerekwu,31.0,"Arlington , TX",10/3/1985,215.0,75.0,Missouri,bradekwerekwu/2507143,,,Retired,,0 Season,,,2007 - 2007
Ed Kelley,,"Sugar Land , TX",2/18/1924,230.0,76.0,Texas,edkelley/2518265,,,Retired,,1 Season,,,1949 - 1949
Bernie Leahy,,"Chicago , IL",8/15/1908,185.0,71.0,Notre Dame,bernieleahy/2519215,,,Retired,,1 Season,,,1932 - 1932
Jordan Carstens,36.0,"Carroll , IA",1/22/1981,300.0,77.0,Iowa State,jordancarstens/2505752,,,Retired,,3 Seasons,,,2004 - 2006
Randall Evans,25.0,"Miami , FL",12/26/1991,195.0,72.0,Kansas State,randallevans/2553355,,CB,Active,Los Angeles Chargers,1st season,Miami Palmetto Senior HS,FL,
Lamar Mady,26.0,"Topeka , KS",12/13/1990,315.0,74.0,Youngstown State,lamarmady/2539642,,,Retired,,3 Seasons,,,2013 - 2015
Ad Wenke,,"Pender , NE",1/22/1898,220.0,76.0,Nebraska,adwenke/2528532,,,Retired,,1 Season,,,1923 - 1923
Jim Bob Taylor,57.0,"San Antonio , TX",9/9/1959,205.0,74.0,Georgia Tech,jimbobtaylor/2527093,,,Retired,,1 Season,,,1983 - 1983
Dallas Neil,40.0,"Great Falls , MT",9/30/1976,235.0,73.0,Montana,dallasneil/2503962,,,Retired,,2 Seasons,,,2000 - 2002
Tom Reynolds,68.0,"Pasadena , CA",4/11/1949,200.0,75.0,San Diego State,tomreynolds/2524014,,,Retired,,3 Seasons,,,1972 - 1974
Orlando Thomas,,"Crowley , LA",10/21/1972,225.0,73.0,Louisiana-Lafayette,orlandothomas/2503317,,,Retired,,7 Seasons,,,1995 - 2001
Titus Young,27.0,"Los Angeles , CA",8/21/1989,174.0,71.0,Boise State,titusyoung/2495253,,,Retired,,2 Seasons,,,2011 - 2012
Ralph Capron,,"Minneapolis , MN",6/16/1889,165.0,71.0,Minnesota,ralphcapron/2511043,,,Retired,,1 Season,,,1920 - 1920
Gilbert Gardner,35.0,"Angleton , TX",5/9/1982,228.0,73.0,Purdue,gilbertgardner/2506038,,,Retired,,5 Seasons,,,2004 - 2008
Larry Martin,77.0,"Tulare Co. , CA",4/9/1940,270.0,74.0,San Diego State,larrymartin/2520254,,,Retired,,1 Season,,,1966 - 1966
Jay Hagood,43.0,"Easley , SC",8/9/1973,306.0,77.0,Virginia Tech,jayhagood/2500955,,,Retired,,1 Season,,,1997 - 1997
Malik Jackson,27.0,"Los Angeles , CA",1/11/1990,300.0,77.0,Tennessee,malikjackson/2532873,90.0,DT,Active,Jacksonville Jaguars,6th season,Birmingham HS,"Van Nuys, CA",
Art May,68.0,"Bessemer , AL",11/16/1948,255.0,75.0,Tuskegee,artmay/2520410,,,Retired,,1 Season,,,1971 - 1971
Lee Johnson,72.0,"Houston , TX",10/1/1944,200.0,73.0,Tennessee State,leejohnson/2517703,,,Retired,,2 Seasons,,,1969 - 1970
Greg Feasel,58.0,"Barstow , CA",11/7/1958,300.0,79.0,Abilene Christian,gregfeasel/2513891,,,Retired,,2 Seasons,,,1986 - 1987
Ray Farmer,42.0,"White Plains , NY",7/1/1974,225.0,75.0,Duke,rayfarmer/2500590,,,Retired,,3 Seasons,,,1996 - 1998
Tramain Hall,35.0,,12/14/1981,190.0,70.0,North Carolina State,tramainhall/2506645,,,Retired,,0 Season,,,2006 - 2007
Todd Sandham,53.0,,12/3/1963,255.0,75.0,Northeastern,toddsandham/2524884,,,Retired,,1 Season,,,1987 - 1987
Jammie Kirlew,30.0,"Tarrytown , NY",5/12/1987,260.0,73.0,Indiana,jammiekirlew/496806,,,Retired,,2 Seasons,,,2010 - 2011
Pat Eilers,50.0,"St. Paul , MN",9/3/1966,195.0,71.0,Notre Dame,pateilers/2500523,,,Retired,,6 Seasons,,,1990 - 1995
Zach Fulton,25.0,"Matteson , IL",9/23/1991,316.0,77.0,Tennessee,zachfulton/2543862,73.0,G,Active,Kansas City Chiefs,4th season,Homewood-Flossmoor HS,"Flossmoor, IL",
Jack Johnson,83.0,"Pittsburgh , PA",12/11/1933,198.0,75.0,Miami (Fla.),jackjohnson/2517656,,,Retired,,5 Seasons,,,1957 - 1961
Ralph Anderson,,"Long Beach , CA",9/2/1935,223.0,76.0,Los Angeles State,ralphanderson/2508517,,,Retired,,2 Seasons,,,1958 - 1960
Clifton Geathers,29.0,"Georgetown , SC",12/11/1987,325.0,80.0,South Carolina,cliftongeathers/496784,,,Retired,,6 Seasons,,,2010 - 2015
Jason Banks,32.0,"Baton Rouge , LA",5/8/1985,296.0,77.0,Grambling State,jasonbanks/2507366,,,Retired,,2 Seasons,,,2008 - 2009
Michael Ray Garvin,30.0,,9/29/1986,182.0,68.0,Florida State,michaelraygarvin/2507674,,,Retired,,0 Season,,,2009 - 2009
John Perko,,"Ely , MN",4/8/1918,225.0,73.0,Minnesota,johnperko/2523024,,,Retired,,1 Season,,,1946 - 1946
Mike Teeter,49.0,"Grand Haven , MI",10/4/1967,275.0,74.0,Michigan,miketeeter/2503272,,,Retired,,4 Seasons,,,1991 - 1995
Jeff Hall,40.0,"Tullahoma , TN",7/30/1976,190.0,71.0,Tennessee,jeffhall/2500970,,,Retired,,1 Season,,,2000 - 2000
Bob Talamini,78.0,"Louisville , KY",1/8/1939,255.0,73.0,Kentucky,bobtalamini/2526988,,,Retired,,9 Seasons,,,1960 - 1968
Davonte Wallace,25.0,,12/21/1991,308.0,75.0,New Mexico State,davontewallace/2550510,,,Retired,,2 Seasons,,,2014 - 2015
Tom Jr. Erlandson,50.0,"Denver , CO",6/19/1966,220.0,73.0,Washington,tomerlandsonjr./2513689,,,Retired,,1 Season,,,1988 - 1988
Brandon Tate,29.0,"Burlington , NC",10/5/1987,195.0,73.0,North Carolina,brandontate/81306,15.0,WR,Active,Buffalo Bills,9th season,Cummings HS,"Burlington, NC",
Jerry Marion,72.0,"Bakersfield , CA",8/7/1944,175.0,70.0,Wyoming,jerrymarion/2520149,,,Retired,,1 Season,,,1967 - 1967
John McCambridge,72.0,"Klamath Falls , OR",8/30/1944,245.0,76.0,Northwestern,johnmccambridge/2520509,,,Retired,,1 Season,,,1967 - 1967
Bap Manzini,,"Treveskyn , PA",8/27/1920,195.0,71.0,St. Vincent,bapmanzini/2520102,,,Retired,,3 Seasons,,,1944 - 1948
Corey Liuget,27.0,"Miami , FL",3/18/1990,300.0,74.0,Illinois,coreyliuget/2495483,94.0,DE,Active,Los Angeles Chargers,7th season,Hialeah HS,FL,
Mark Herzlich,29.0,"Kirkwood , MO",9/1/1987,246.0,76.0,Boston College,markherzlich/2495164,44.0,OLB,Active,New York Giants,7th season,Conestoga HS,"Berwyn, PA",
Brenden Daley,26.0,,5/30/1991,250.0,75.0,Hawaii,brendendaley/2550190,,,Retired,,1 Season,,,2014 - 2014
John Carlson,33.0,"St. Cloud , MN",5/12/1984,248.0,77.0,Notre Dame,johncarlson/1966,,,Retired,,7 Seasons,,,2008 - 2014
Bryce Harris,28.0,"Bakersfield , CA",1/16/1989,300.0,78.0,Fresno State,bryceharris/2532859,,T,Active,New Orleans Saints,6th season,Tulare HS,CA,
Stan Talley,58.0,"Dallas , TX",9/5/1958,220.0,77.0,Texas Christian,stantalley/2527002,,,Retired,,1 Season,,,1987 - 1987
T.J. Johnson,26.0,"Moncks Corner , SC",7/17/1990,300.0,76.0,South Carolina,t.j.johnson/2540251,60.0,OG,Active,Cincinnati Bengals,4th season,Aynor HS,SC,
Chris Chambers,38.0,"Cleveland , OH",8/12/1978,210.0,71.0,Wisconsin,chrischambers/2504695,,,Retired,,10 Seasons,,,2001 - 2010
Colin Allred,34.0,"Dallas , TX",4/15/1983,242.0,73.0,Baylor,colinallred/2506654,,,Retired,,4 Seasons,,,2006 - 2010
Leon Lett,48.0,"Mobile , AL",10/12/1968,290.0,78.0,Emporia State,leonlett/2501733,,,Retired,,11 Seasons,,,1991 - 2001
Garry James,53.0,"Marrero , LA",9/4/1963,214.0,70.0,LSU,garryjames/2517372,,,Retired,,3 Seasons,,,1986 - 1988
Bruce Caldwell,,"Ashton , RI",2/8/1906,190.0,72.0,Yale,brucecaldwell/2510914,,,Retired,,1 Season,,,1928 - 1928
Kevin Norwood,27.0,"Biloxi , MS",9/23/1989,210.0,74.0,Alabama,kevinnorwood/2543689,,WR,Active,New York Giants,3rd season,D'lberville HS,MS,
Ben Agajanian,97.0,"Santa Ana , CA",8/28/1919,215.0,72.0,New Mexico,benagajanian/2508255,,,Retired,,13 Seasons,,,1945 - 1964
Tashawn Bower,22.0,"Livingston , NJ",2/18/1995,250.0,77.0,LSU,tashawnbower/2558915,,DE,Active,Minnesota Vikings,Rookie,Immaculata HS,"Somerville,",
Rayshun Reed,36.0,"Columbus , GA",4/10/1981,185.0,69.0,Troy,rayshunreed/2505722,,,Retired,,1 Season,,,2004 - 2006
Matt McCants,27.0,"Mobile , AL",8/18/1989,310.0,78.0,Alabama-Birmingham,mattmccants/2532905,,T,Active,Cleveland Browns,5th season,Lillie B. Williamson HS,"Mobile, AL",
Harry Newman,,"Detroit , MI",9/5/1909,179.0,68.0,Michigan,harrynewman/2522100,,,Retired,,3 Seasons,,,1933 - 1935
Raekwon McMillan,20.0,"Midway , GA",11/17/1996,243.0,74.0,Ohio State,raekwonmcmillan/2558070,,LB,Active,Miami Dolphins,Rookie,Liberty County HS,"Hinesville, GA",
Taylor Lewan,25.0,"Scottsdale , AZ",7/22/1991,309.0,79.0,Michigan,taylorlewan/2550132,77.0,T,Active,Tennessee Titans,4th season,Cactus Shadows HS,"Cave Creek, AZ",
Bob Glazebrook,61.0,"Fresno , CA",3/7/1956,200.0,73.0,Fresno State,bobglazebrook/2514951,,,Retired,,6 Seasons,,,1978 - 1983
Jay Barker,45.0,"Birmingham , AL",4/20/1972,220.0,75.0,Alabama,jaybarker/2499535,,,Retired,,2 Seasons,,,1995 - 1996
L.J. Castile,28.0,,9/7/1988,223.0,75.0,Delta State,l.j.castile/2531034,,,Retired,,1 Season,,,2011 - 2011
Greg Estandia,34.0,"Thousand Oaks , CA",11/18/1982,266.0,80.0,Nevada-Las Vegas,gregestandia/2506635,,,Retired,,5 Seasons,,,2006 - 2010
George Farmer,58.0,"Los Angeles , CA",12/5/1958,175.0,70.0,Southern University,georgefarmer/2513837,,,Retired,,4 Seasons,,,1982 - 1987
Norm Wells,59.0,"Detroit , MI",9/8/1957,261.0,77.0,Northwestern,normwells/2528513,,,Retired,,1 Season,,,1980 - 1980
Sean Jeffcoat,27.0,,7/10/1989,200.0,74.0,Elon,seanjeffcoat/2531045,,,Retired,,1 Season,,,2011 - 2011
Darius Watts,35.0,"Atlanta , GA",12/19/1981,190.0,74.0,Marshall,dariuswatts/2505950,,,Retired,,3 Seasons,,,2004 - 2006
JoJuan Armour,40.0,"Toledo , OH",7/10/1976,220.0,71.0,Miami (Ohio),jojuanarmour/2499450,,,Retired,,4 Seasons,,,1999 - 2002
Mike Newell,40.0,"Denver , CO",7/22/1976,300.0,76.0,Colorado State,mikenewell/2502284,,,Retired,,2 Seasons,,,1999 - 2002
Patrick Chung,29.0,Kingston Jamaica,8/19/1987,215.0,71.0,Oregon,patrickchung/71251,23.0,SS,Active,New England Patriots,9th season,Rancho Cucamonga HS,CA,
Mick Tingelhoff,77.0,"Lexington , NE",5/22/1940,237.0,74.0,Nebraska,micktingelhoff/2527445,,,Retired,,17 Seasons,,,1962 - 1978
Charlie Gogolak,72.0,Rapahidveg Hungary,12/29/1944,165.0,70.0,Princeton,charliegogolak/2514998,,,Retired,,6 Seasons,,,1966 - 1972
Bashir Yamini,39.0,"Bolton , IL",9/10/1977,201.0,75.0,Iowa,bashiryamini/2503932,,,Retired,,2 Seasons,,,2000 - 2001
Ben Scotti,79.0,"Newark , NJ",6/9/1937,185.0,73.0,Maryland,benscotti/2525235,,,Retired,,6 Seasons,,,1959 - 1964
Spiro Dellerba,,"Ashtabula , OH",1/25/1923,200.0,71.0,Ohio State,spirodellerba/2512752,,,Retired,,3 Seasons,,,1947 - 1949
